Calculation1,School,City,County,Count,All,African American,American Indian,Hispanic/ Latino,Asian,White,Domestic unknown,Inter- national
ALLAN HANCOCK COLLEGE4002,ALLAN HANCOCK COLLEGE,Santa Maria,Santa Barbara,App,35,2,2,11,5,14,1,
ALLAN HANCOCK COLLEGE4002,ALLAN HANCOCK COLLEGE,Santa Maria,Santa Barbara,Adm,12,,,,,7,,
ALLAN HANCOCK COLLEGE4002,ALLAN HANCOCK COLLEGE,Santa Maria,Santa Barbara,Enr,,,,,,,,
AMERICAN RIVER COLLEGE4004,AMERICAN RIVER COLLEGE,Sacramento,Sacramento,App,117,11,2,10,30,58,,4
AMERICAN RIVER COLLEGE4004,AMERICAN RIVER COLLEGE,Sacramento,Sacramento,Adm,57,3,,6,14,32,,
AMERICAN RIVER COLLEGE4004,AMERICAN RIVER COLLEGE,Sacramento,Sacramento,Enr,9,,,,3,6,,
ANTELOPE VALLEY COLLEGE4005,ANTELOPE VALLEY COLLEGE,Lancaster,Los Angeles,App,32,2,,14,3,9,,2
ANTELOPE VALLEY COLLEGE4005,ANTELOPE VALLEY COLLEGE,Lancaster,Los Angeles,Adm,15,,,9,,3,,
ANTELOPE VALLEY COLLEGE4005,ANTELOPE VALLEY COLLEGE,Lancaster,Los Angeles,Enr,5,,,,,,,
BAKERSFIELD COLLEGE4015,BAKERSFIELD COLLEGE,Bakersfield,Kern,App,40,1,,16,11,12,,
BAKERSFIELD COLLEGE4015,BAKERSFIELD COLLEGE,Bakersfield,Kern,Adm,19,,,5,6,7,,
BAKERSFIELD COLLEGE4015,BAKERSFIELD COLLEGE,Bakersfield,Kern,Enr,8,,,,4,,,
BARSTOW COLLEGE4020,BARSTOW COLLEGE,Barstow,San Bernardino,App,9,,,1,1,6,,1
BARSTOW COLLEGE4020,BARSTOW COLLEGE,Barstow,San Bernardino,Adm,3,,,,,,,
BARSTOW COLLEGE4020,BARSTOW COLLEGE,Barstow,San Bernardino,Enr,,,,,,,,
BERKELEY CITY COLLEGE7711,BERKELEY CITY COLLEGE,Berkeley,Alameda,App,129,11,1,17,42,37,,16
BERKELEY CITY COLLEGE7711,BERKELEY CITY COLLEGE,Berkeley,Alameda,Adm,75,4,,8,28,22,,11
BERKELEY CITY COLLEGE7711,BERKELEY CITY COLLEGE,Berkeley,Alameda,Enr,21,,,,6,7,,5
BUTTE COLLEGE4226,BUTTE COLLEGE,Oroville,Butte,App,20,3,1,3,1,11,,1
BUTTE COLLEGE4226,BUTTE COLLEGE,Oroville,Butte,Adm,13,,,,,9,,
BUTTE COLLEGE4226,BUTTE COLLEGE,Oroville,Butte,Enr,,,,,,,,
CABRILLO COLLEGE4084,CABRILLO COLLEGE,Aptos,Santa Cruz,App,82,1,1,17,9,50,1,3
CABRILLO COLLEGE4084,CABRILLO COLLEGE,Aptos,Santa Cruz,Adm,43,,,7,7,26,,
