Calculation1,School,City,County,Count,All,African American,American Indian,Hispanic/ Latino,Asian,White,Domestic unknown,Inter- national
ALLAN HANCOCK COLLEGE4002,ALLAN HANCOCK COLLEGE,Santa Maria,Santa Barbara,App,53,4,,35,4,9,,
ALLAN HANCOCK COLLEGE4002,ALLAN HANCOCK COLLEGE,Santa Maria,Santa Barbara,Adm,21,,,15,,4,,
ALLAN HANCOCK COLLEGE4002,ALLAN HANCOCK COLLEGE,Santa Maria,Santa Barbara,Enr,4,,,,,,,
AMERICAN RIVER COLLEGE4004,AMERICAN RIVER COLLEGE,Sacramento,Sacramento,App,97,5,1,12,29,42,,4
AMERICAN RIVER COLLEGE4004,AMERICAN RIVER COLLEGE,Sacramento,Sacramento,Adm,35,,,,12,18,,
AMERICAN RIVER COLLEGE4004,AMERICAN RIVER COLLEGE,Sacramento,Sacramento,Enr,7,,,,3,3,,
ANTELOPE VALLEY COLLEGE4005,ANTELOPE VALLEY COLLEGE,Lancaster,Los Angeles,App,51,4,,28,5,13,,
ANTELOPE VALLEY COLLEGE4005,ANTELOPE VALLEY COLLEGE,Lancaster,Los Angeles,Adm,31,,,19,,8,,
ANTELOPE VALLEY COLLEGE4005,ANTELOPE VALLEY COLLEGE,Lancaster,Los Angeles,Enr,6,,,4,,,,
BAKERSFIELD COLLEGE4015,BAKERSFIELD COLLEGE,Bakersfield,Kern,App,61,2,,23,17,18,,
BAKERSFIELD COLLEGE4015,BAKERSFIELD COLLEGE,Bakersfield,Kern,Adm,28,,,8,9,11,,
BAKERSFIELD COLLEGE4015,BAKERSFIELD COLLEGE,Bakersfield,Kern,Enr,7,,,,,3,,
BERKELEY CITY COLLEGE7711,BERKELEY CITY COLLEGE,Berkeley,Alameda,App,213,16,,24,37,47,,86
BERKELEY CITY COLLEGE7711,BERKELEY CITY COLLEGE,Berkeley,Alameda,Adm,112,6,,12,21,24,,47
BERKELEY CITY COLLEGE7711,BERKELEY CITY COLLEGE,Berkeley,Alameda,Enr,20,,,,,5,,12
BUTTE COLLEGE4226,BUTTE COLLEGE,Oroville,Butte,App,26,3,1,6,1,12,,1
BUTTE COLLEGE4226,BUTTE COLLEGE,Oroville,Butte,Adm,13,,,4,,7,,
BUTTE COLLEGE4226,BUTTE COLLEGE,Oroville,Butte,Enr,4,,,,,,,
CABRILLO COLLEGE4084,CABRILLO COLLEGE,Aptos,Santa Cruz,App,110,,1,28,18,54,,6
CABRILLO COLLEGE4084,CABRILLO COLLEGE,Aptos,Santa Cruz,Adm,56,,,13,11,25,,3
CABRILLO COLLEGE4084,CABRILLO COLLEGE,Aptos,Santa Cruz,Enr,13,,,4,,7,,
CANADA COLLEGE4109,CANADA COLLEGE,Redwood City,San Mateo,App,66,2,2,22,13,13,2,12
CANADA COLLEGE4109,CANADA COLLEGE,Redwood City,San Mateo,Adm,34,,,12,7,8,,5
CANADA COLLEGE4109,CANADA COLLEGE,Redwood City,San Mateo,Enr,13,,,3,3,5,,
CERRITOS COLLEGE4083,CERRITOS COLLEGE,Norwalk,Los Angeles,App,109,10,,68,23,2,,2
CERRITOS COLLEGE4083,CERRITOS COLLEGE,Norwalk,Los Angeles,Adm,53,5,,30,16,,,
CERRITOS COLLEGE4083,CERRITOS COLLEGE,Norwalk,Los Angeles,Enr,12,,,7,3,,,
CERRO COSO COMMUNITY COLLEGE4027,CERRO COSO COMMUNITY COLLEGE,Ridgecrest,Kern,App,7,,,1,1,5,,
CERRO COSO COMMUNITY COLLEGE4027,CERRO COSO COMMUNITY COLLEGE,Ridgecrest,Kern,Adm,4,,,,,,,
CERRO COSO COMMUNITY COLLEGE4027,CERRO COSO COMMUNITY COLLEGE,Ridgecrest,Kern,Enr,,,,,,,,
CHABOT COLLEGE4725,CHABOT COLLEGE,Hayward,Alameda,App,133,16,,27,64,17,,5
CHABOT COLLEGE4725,CHABOT COLLEGE,Hayward,Alameda,Adm,75,8,,12,41,7,,5
CHABOT COLLEGE4725,CHABOT COLLEGE,Hayward,Alameda,Enr,20,,,4,9,,,3
CHAFFEY COLLEGE4046,CHAFFEY COLLEGE,Rancho Cucamonga,San Bernardino,App,114,9,1,62,16,17,2,7
CHAFFEY COLLEGE4046,CHAFFEY COLLEGE,Rancho Cucamonga,San Bernardino,Adm,46,4,,26,7,5,,4
CHAFFEY COLLEGE4046,CHAFFEY COLLEGE,Rancho Cucamonga,San Bernardino,Enr,9,,,4,,3,,
CITRUS COLLEGE4051,CITRUS COLLEGE,Glendora,Los Angeles,App,133,4,1,37,28,17,,44
CITRUS COLLEGE4051,CITRUS COLLEGE,Glendora,Los Angeles,Adm,68,3,,24,17,10,,13
CITRUS COLLEGE4051,CITRUS COLLEGE,Glendora,Los Angeles,Enr,16,,,3,4,,,7
CITY COLLEGE SAN FRANCISCO4052,CITY COLLEGE SAN FRANCISCO,San Francisco,San Francisco,App,220,11,1,20,129,35,,17
CITY COLLEGE SAN FRANCISCO4052,CITY COLLEGE SAN FRANCISCO,San Francisco,San Francisco,Adm,126,6,,11,85,13,,4
CITY COLLEGE SAN FRANCISCO4052,CITY COLLEGE SAN FRANCISCO,San Francisco,San Francisco,Enr,29,,,,23,,,
CLOVIS COMMUNITY COLLEGE7973,CLOVIS COMMUNITY COLLEGE,Fresno,Fresno,App,56,4,3,15,12,22,,
CLOVIS COMMUNITY COLLEGE7973,CLOVIS COMMUNITY COLLEGE,Fresno,Fresno,Adm,37,,,8,8,18,,
CLOVIS COMMUNITY COLLEGE7973,CLOVIS COMMUNITY COLLEGE,Fresno,Fresno,Enr,15,,,6,3,5,,
COASTLINE COMMUNITY COLLEGE933,COASTLINE COMMUNITY COLLEGE,Fountain Valley,Orange,App,23,,,4,7,11,1,
COASTLINE COMMUNITY COLLEGE933,COASTLINE COMMUNITY COLLEGE,Fountain Valley,Orange,Adm,8,,,,4,3,,
COASTLINE COMMUNITY COLLEGE933,COASTLINE COMMUNITY COLLEGE,Fountain Valley,Orange,Enr,,,,,,,,
COLLEGE OF ALAMEDA4118,COLLEGE OF ALAMEDA,Alameda,Alameda,App,37,6,,3,16,10,,2
COLLEGE OF ALAMEDA4118,COLLEGE OF ALAMEDA,Alameda,Alameda,Adm,19,3,,,9,6,,
COLLEGE OF ALAMEDA4118,COLLEGE OF ALAMEDA,Alameda,Alameda,Enr,6,,,,,3,,
COLLEGE OF MARIN4061,COLLEGE OF MARIN,Kentfield,Marin,App,81,3,,13,13,49,,
COLLEGE OF MARIN4061,COLLEGE OF MARIN,Kentfield,Marin,Adm,39,,,4,7,24,,
COLLEGE OF MARIN4061,COLLEGE OF MARIN,Kentfield,Marin,Enr,7,,,,,5,,
COLLEGE OF SAN MATEO4070,COLLEGE OF SAN MATEO,San Mateo,San Mateo,App,233,2,2,29,63,40,,96
COLLEGE OF SAN MATEO4070,COLLEGE OF SAN MATEO,San Mateo,San Mateo,Adm,108,,,14,34,21,,37
COLLEGE OF SAN MATEO4070,COLLEGE OF SAN MATEO,San Mateo,San Mateo,Enr,37,,,4,10,,,21
COLLEGE OF THE CANYONS4117,COLLEGE OF THE CANYONS,Santa Clarita,Los Angeles,App,241,18,1,76,61,71,,6
COLLEGE OF THE CANYONS4117,COLLEGE OF THE CANYONS,Santa Clarita,Los Angeles,Adm,127,7,,35,37,39,,3
COLLEGE OF THE CANYONS4117,COLLEGE OF THE CANYONS,Santa Clarita,Los Angeles,Enr,31,,,11,8,8,,
COLLEGE OF THE DESERT4085,COLLEGE OF THE DESERT,Palm Desert,Riverside,App,99,2,2,60,10,18,3,4
COLLEGE OF THE DESERT4085,COLLEGE OF THE DESERT,Palm Desert,Riverside,Adm,46,,,28,7,8,,
COLLEGE OF THE DESERT4085,COLLEGE OF THE DESERT,Palm Desert,Riverside,Enr,16,,,10,,4,,
COLLEGE OF THE REDWOODS4100,COLLEGE OF THE REDWOODS,Eureka,Humboldt,App,10,,1,1,,8,,
COLLEGE OF THE REDWOODS4100,COLLEGE OF THE REDWOODS,Eureka,Humboldt,Adm,7,,,,,6,,
COLLEGE OF THE REDWOODS4100,COLLEGE OF THE REDWOODS,Eureka,Humboldt,Enr,,,,,,,,
COLLEGE OF THE SEQUOIAS4071,COLLEGE OF THE SEQUOIAS,Visalia,Tulare,App,28,3,,15,3,6,,
COLLEGE OF THE SEQUOIAS4071,COLLEGE OF THE SEQUOIAS,Visalia,Tulare,Adm,18,3,,8,,5,,
COLLEGE OF THE SEQUOIAS4071,COLLEGE OF THE SEQUOIAS,Visalia,Tulare,Enr,3,,,,,,,
CONTRA COSTA COLLEGE4943,CONTRA COSTA COLLEGE,San Pablo,Contra Costa,App,49,5,,16,11,6,,10
CONTRA COSTA COLLEGE4943,CONTRA COSTA COLLEGE,San Pablo,Contra Costa,Adm,31,5,,11,8,3,,4
CONTRA COSTA COLLEGE4943,CONTRA COSTA COLLEGE,San Pablo,Contra Costa,Enr,11,,,3,3,,,3
COPPER MOUNTAIN COLLEGE3889,COPPER MOUNTAIN COLLEGE,Joshua Tree,San Bernardino,App,4,,,,,3,1,
COPPER MOUNTAIN COLLEGE3889,COPPER MOUNTAIN COLLEGE,Joshua Tree,San Bernardino,Adm,,,,,,,,
COPPER MOUNTAIN COLLEGE3889,COPPER MOUNTAIN COLLEGE,Joshua Tree,San Bernardino,Enr,,,,,,,,
COSUMNES RIVER COLLEGE4121,COSUMNES RIVER COLLEGE,Sacramento,Sacramento,App,64,4,,11,32,16,,
COSUMNES RIVER COLLEGE4121,COSUMNES RIVER COLLEGE,Sacramento,Sacramento,Adm,31,,,6,16,6,,
COSUMNES RIVER COLLEGE4121,COSUMNES RIVER COLLEGE,Sacramento,Sacramento,Enr,4,,,,3,,,
CRAFTON HILLS COLLEGE4126,CRAFTON HILLS COLLEGE,Yucaipa,San Bernardino,App,37,5,,15,8,8,,
CRAFTON HILLS COLLEGE4126,CRAFTON HILLS COLLEGE,Yucaipa,San Bernardino,Adm,13,,,6,4,,,
CRAFTON HILLS COLLEGE4126,CRAFTON HILLS COLLEGE,Yucaipa,San Bernardino,Enr,4,,,3,,,,
CUESTA COLLEGE4101,CUESTA COLLEGE,San Luis Obispo,San Luis Obispo,App,76,1,2,12,6,48,7,
CUESTA COLLEGE4101,CUESTA COLLEGE,San Luis Obispo,San Luis Obispo,Adm,35,,,,3,27,,
CUESTA COLLEGE4101,CUESTA COLLEGE,San Luis Obispo,San Luis Obispo,Enr,8,,,,,7,,
CUYAMACA COLLEGE4252,CUYAMACA COLLEGE,El Cajon,San Diego,App,116,6,1,25,12,71,,
CUYAMACA COLLEGE4252,CUYAMACA COLLEGE,El Cajon,San Diego,Adm,75,3,,14,10,46,,
CUYAMACA COLLEGE4252,CUYAMACA COLLEGE,El Cajon,San Diego,Enr,51,,,10,9,28,,
CYPRESS COLLEGE4104,CYPRESS COLLEGE,Cypress,Orange,App,141,8,1,30,76,17,,4
