Sch Src Name,Maincampus,Region,2021
MODESTO JUNIOR COLLEGE,Davis,Central Valley and Mother Lode Region,8
EVERGREEN VALLEY COLLEGE,Davis,San Francisco Bay Area Region,8
SKYLINE COLLEGE,Davis,San Francisco Bay Area Region,10
MISSION COLLEGE,Davis,San Francisco Bay Area Region,10
LOS MEDANOS COLLEGE,Davis,San Francisco Bay Area Region,10
SACRAMENTO CITY COLLEGE,Davis,North/Far North Region,11
CLOVIS COMMUNITY COLLEGE,Davis,Central Valley and Mother Lode Region,11
SIERRA COLLEGE,Davis,North/Far North Region,12
FOLSOM LAKE COLLEGE,Davis,North/Far North Region,13
COLLEGE OF ALAMEDA,Davis,San Francisco Bay Area Region,13
AMERICAN RIVER COLLEGE,Davis,North/Far North Region,15
LAS POSITAS COLLEGE,Davis,San Francisco Bay Area Region,20
SANTA ROSA JUNIOR COLLEGE,Davis,San Francisco Bay Area Region,22
OHLONE COLLEGE,Davis,San Francisco Bay Area Region,33
COLLEGE OF SAN MATEO,Davis,San Francisco Bay Area Region,41
SAN JOSE CITY COLLEGE,Berkeley,San Francisco Bay Area Region,4
COLLEGE OF MARIN,Berkeley,San Francisco Bay Area Region,9
LANEY COLLEGE,Berkeley,San Francisco Bay Area Region,15
CHABOT COLLEGE,Berkeley,San Francisco Bay Area Region,17
BERKELEY CITY COLLEGE,Berkeley,San Francisco Bay Area Region,24
CITY COLLEGE SAN FRANCISCO,Berkeley,San Francisco Bay Area Region,29
FOOTHILL COLLEGE,Berkeley,San Francisco Bay Area Region,58
DIABLO VALLEY COLLEGE,Berkeley,San Francisco Bay Area Region,115
WEST HILLS COLLEGE COALINGA,Tie,Central Valley and Mother Lode Region,1
WEST HILLS COLLEGE LEMOORE,Tie,Central Valley and Mother Lode Region,2
WEST LOS ANGELES COLLEGE,Tie,LOS ANGELES REGION,11
CITRUS COLLEGE,Tie,LOS ANGELES REGION,43
