Calculation1,School,City,County,Count,All,African American,American Indian,Hispanic/ Latino,Asian,White,Domestic unknown,Inter- national
ALLAN HANCOCK COLLEGE4002,ALLAN HANCOCK COLLEGE,Santa Maria,Santa Barbara,App,40,2,3,21,1,12,1,
ALLAN HANCOCK COLLEGE4002,ALLAN HANCOCK COLLEGE,Santa Maria,Santa Barbara,Adm,21,,,12,,7,,
ALLAN HANCOCK COLLEGE4002,ALLAN HANCOCK COLLEGE,Santa Maria,Santa Barbara,Enr,11,,,4,,5,,
AMERICAN RIVER COLLEGE4004,AMERICAN RIVER COLLEGE,Sacramento,Sacramento,App,85,7,3,16,19,34,,4
AMERICAN RIVER COLLEGE4004,AMERICAN RIVER COLLEGE,Sacramento,Sacramento,Adm,49,4,,6,10,23,,
AMERICAN RIVER COLLEGE4004,AMERICAN RIVER COLLEGE,Sacramento,Sacramento,Enr,9,,,,3,,,
ANTELOPE VALLEY COLLEGE4005,ANTELOPE VALLEY COLLEGE,Lancaster,Los Angeles,App,47,8,,23,8,8,,
ANTELOPE VALLEY COLLEGE4005,ANTELOPE VALLEY COLLEGE,Lancaster,Los Angeles,Adm,25,3,,13,3,6,,
ANTELOPE VALLEY COLLEGE4005,ANTELOPE VALLEY COLLEGE,Lancaster,Los Angeles,Enr,9,,,4,,3,,
BAKERSFIELD COLLEGE4015,BAKERSFIELD COLLEGE,Bakersfield,Kern,App,46,3,,27,5,10,,1
BAKERSFIELD COLLEGE4015,BAKERSFIELD COLLEGE,Bakersfield,Kern,Adm,23,,,14,,5,,
BAKERSFIELD COLLEGE4015,BAKERSFIELD COLLEGE,Bakersfield,Kern,Enr,7,,,,,3,,
BERKELEY CITY COLLEGE7711,BERKELEY CITY COLLEGE,Berkeley,Alameda,App,157,13,,19,40,40,,43
BERKELEY CITY COLLEGE7711,BERKELEY CITY COLLEGE,Berkeley,Alameda,Adm,96,7,,13,27,26,,21
BERKELEY CITY COLLEGE7711,BERKELEY CITY COLLEGE,Berkeley,Alameda,Enr,20,,,3,6,4,,6
BUTTE COLLEGE4226,BUTTE COLLEGE,Oroville,Butte,App,22,1,2,3,1,13,,2
BUTTE COLLEGE4226,BUTTE COLLEGE,Oroville,Butte,Adm,14,,,,,10,,
BUTTE COLLEGE4226,BUTTE COLLEGE,Oroville,Butte,Enr,4,,,,,3,,
CABRILLO COLLEGE4084,CABRILLO COLLEGE,Aptos,Santa Cruz,App,110,2,2,26,17,47,7,9
CABRILLO COLLEGE4084,CABRILLO COLLEGE,Aptos,Santa Cruz,Adm,72,,,18,10,32,,5
CABRILLO COLLEGE4084,CABRILLO COLLEGE,Aptos,Santa Cruz,Enr,17,,,6,,5,,3
CANADA COLLEGE4109,CANADA COLLEGE,Redwood City,San Mateo,App,103,2,1,23,26,28,3,20
CANADA COLLEGE4109,CANADA COLLEGE,Redwood City,San Mateo,Adm,70,,,15,19,19,,14
CANADA COLLEGE4109,CANADA COLLEGE,Redwood City,San Mateo,Enr,14,,,5,,5,,
CERRITOS COLLEGE4083,CERRITOS COLLEGE,Norwalk,Los Angeles,App,84,5,,48,16,3,,9
CERRITOS COLLEGE4083,CERRITOS COLLEGE,Norwalk,Los Angeles,Adm,33,,,21,8,,,
