Calculation1,School,City,County,Count,All,African American,American Indian,Hispanic/ Latino,Asian,White,Domestic unknown,Inter- national
CITY COLLEGE SAN FRANCISCO4052,CITY COLLEGE SAN FRANCISCO,San Francisco,San Francisco,Enr,381,7,,46,228,62,,22
CLOVIS COMMUNITY COLLEGE7973,CLOVIS COMMUNITY COLLEGE,Fresno,Fresno,App,132,11,,42,41,37,,
CLOVIS COMMUNITY COLLEGE7973,CLOVIS COMMUNITY COLLEGE,Fresno,Fresno,Adm,105,9,,31,33,31,,
CLOVIS COMMUNITY COLLEGE7973,CLOVIS COMMUNITY COLLEGE,Fresno,Fresno,Enr,75,3,,23,28,21,,
COASTLINE COMMUNITY COLLEGE933,COASTLINE COMMUNITY COLLEGE,Fountain Valley,Orange,App,85,6,1,17,28,27,,3
COASTLINE COMMUNITY COLLEGE933,COASTLINE COMMUNITY COLLEGE,Fountain Valley,Orange,Adm,62,4,,16,20,17,,
COASTLINE COMMUNITY COLLEGE933,COASTLINE COMMUNITY COLLEGE,Fountain Valley,Orange,Enr,47,4,,13,15,11,,
COLLEGE OF ALAMEDA4118,COLLEGE OF ALAMEDA,Alameda,Alameda,App,128,13,,24,63,16,,9
COLLEGE OF ALAMEDA4118,COLLEGE OF ALAMEDA,Alameda,Alameda,Adm,101,12,,21,50,9,,7
COLLEGE OF ALAMEDA4118,COLLEGE OF ALAMEDA,Alameda,Alameda,Enr,72,9,,14,38,6,,3
COLLEGE OF MARIN4061,COLLEGE OF MARIN,Kentfield,Marin,App,207,14,1,53,20,101,,4
COLLEGE OF MARIN4061,COLLEGE OF MARIN,Kentfield,Marin,Adm,155,10,,40,19,69,,4
COLLEGE OF MARIN4061,COLLEGE OF MARIN,Kentfield,Marin,Enr,119,9,,29,15,53,10,3
COLLEGE OF SAN MATEO4070,COLLEGE OF SAN MATEO,San Mateo,San Mateo,App,433,14,2,64,126,83,,135
COLLEGE OF SAN MATEO4070,COLLEGE OF SAN MATEO,San Mateo,San Mateo,Adm,352,11,,50,101,65,,117
COLLEGE OF SAN MATEO4070,COLLEGE OF SAN MATEO,San Mateo,San Mateo,Enr,284,10,,37,83,49,8,97
COLLEGE OF THE CANYONS4117,COLLEGE OF THE CANYONS,Santa Clarita,Los Angeles,App,527,31,8,162,101,173,18,34
COLLEGE OF THE CANYONS4117,COLLEGE OF THE CANYONS,Santa Clarita,Los Angeles,Adm,376,19,7,114,72,121,16,27
COLLEGE OF THE CANYONS4117,COLLEGE OF THE CANYONS,Santa Clarita,Los Angeles,Enr,271,12,5,82,50,93,11,18
COLLEGE OF THE DESERT4085,COLLEGE OF THE DESERT,Palm Desert,Riverside,App,260,10,,173,14,50,,5
COLLEGE OF THE DESERT4085,COLLEGE OF THE DESERT,Palm Desert,Riverside,Adm,190,6,,126,10,39,5,4
COLLEGE OF THE DESERT4085,COLLEGE OF THE DESERT,Palm Desert,Riverside,Enr,125,4,,80,7,28,,3
COLLEGE OF THE REDWOODS4100,COLLEGE OF THE REDWOODS,Eureka,Humboldt,App,32,1,2,10,2,15,2,
COLLEGE OF THE REDWOODS4100,COLLEGE OF THE REDWOODS,Eureka,Humboldt,Adm,26,,,8,,11,,
COLLEGE OF THE REDWOODS4100,COLLEGE OF THE REDWOODS,Eureka,Humboldt,Enr,17,,,6,,5,,
COLLEGE OF THE SEQUOIAS4071,COLLEGE OF THE SEQUOIAS,Visalia,Tulare,App,106,2,,66,9,26,2,1
COLLEGE OF THE SEQUOIAS4071,COLLEGE OF THE SEQUOIAS,Visalia,Tulare,Adm,72,,,48,4,17,,
COLLEGE OF THE SEQUOIAS4071,COLLEGE OF THE SEQUOIAS,Visalia,Tulare,Enr,42,,,24,,13,,
COLLEGE OF THE SISKIYOUS4087,COLLEGE OF THE SISKIYOUS,Weed,Siskiyou,App,11,1,,5,,4,,
COLLEGE OF THE SISKIYOUS4087,COLLEGE OF THE SISKIYOUS,Weed,Siskiyou,Adm,6,,,3,,3,,
COLLEGE OF THE SISKIYOUS4087,COLLEGE OF THE SISKIYOUS,Weed,Siskiyou,Enr,3,,,,,,,
COLUMBIA COLLEGE4108,COLUMBIA COLLEGE,Sonora,Tuolumne,App,38,2,1,7,1,24,,
COLUMBIA COLLEGE4108,COLUMBIA COLLEGE,Sonora,Tuolumne,Adm,29,,,7,,17,,
COLUMBIA COLLEGE4108,COLUMBIA COLLEGE,Sonora,Tuolumne,Enr,18,,,6,,9,,
COMPTON COLLEGE4078,COMPTON COLLEGE,Compton,Los Angeles,App,28,6,,19,3,,,
COMPTON COLLEGE4078,COMPTON COLLEGE,Compton,Los Angeles,Adm,19,6,,12,,,,
COMPTON COLLEGE4078,COMPTON COLLEGE,Compton,Los Angeles,Enr,8,3,,4,,,,
CONTRA COSTA COLLEGE4943,CONTRA COSTA COLLEGE,San Pablo,Contra Costa,App,169,15,,71,52,10,,16
CONTRA COSTA COLLEGE4943,CONTRA COSTA COLLEGE,San Pablo,Contra Costa,Adm,117,7,,51,35,9,4,11
CONTRA COSTA COLLEGE4943,CONTRA COSTA COLLEGE,San Pablo,Contra Costa,Enr,84,6,,36,27,6,,8
COPPER MOUNTAIN COLLEGE3889,COPPER MOUNTAIN COLLEGE,Joshua Tree,San Bernardino,App,23,5,3,4,1,8,,
COPPER MOUNTAIN COLLEGE3889,COPPER MOUNTAIN COLLEGE,Joshua Tree,San Bernardino,Adm,16,3,,3,,7,,
COPPER MOUNTAIN COLLEGE3889,COPPER MOUNTAIN COLLEGE,Joshua Tree,San Bernardino,Enr,8,,,,,4,,
COSUMNES RIVER COLLEGE4121,COSUMNES RIVER COLLEGE,Sacramento,Sacramento,App,259,26,4,49,122,45,,3
COSUMNES RIVER COLLEGE4121,COSUMNES RIVER COLLEGE,Sacramento,Sacramento,Adm,186,21,,35,89,30,,3
COSUMNES RIVER COLLEGE4121,COSUMNES RIVER COLLEGE,Sacramento,Sacramento,Enr,140,18,,22,69,24,,
CRAFTON HILLS COLLEGE4126,CRAFTON HILLS COLLEGE,Yucaipa,San Bernardino,App,137,14,4,57,21,35,,
CRAFTON HILLS COLLEGE4126,CRAFTON HILLS COLLEGE,Yucaipa,San Bernardino,Adm,102,11,,41,13,31,,
CRAFTON HILLS COLLEGE4126,CRAFTON HILLS COLLEGE,Yucaipa,San Bernardino,Enr,77,7,,34,10,22,,
CUESTA COLLEGE4101,CUESTA COLLEGE,San Luis Obispo,San Luis Obispo,App,262,7,5,68,20,149,,2
CUESTA COLLEGE4101,CUESTA COLLEGE,San Luis Obispo,San Luis Obispo,Adm,189,3,3,51,18,105,,
CUESTA COLLEGE4101,CUESTA COLLEGE,San Luis Obispo,San Luis Obispo,Enr,101,,,28,8,60,,
CUYAMACA COLLEGE4252,CUYAMACA COLLEGE,El Cajon,San Diego,App,141,8,,51,9,64,,1
CUYAMACA COLLEGE4252,CUYAMACA COLLEGE,El Cajon,San Diego,Adm,110,6,,41,9,47,,
CUYAMACA COLLEGE4252,CUYAMACA COLLEGE,El Cajon,San Diego,Enr,72,4,,26,4,32,,
CYPRESS COLLEGE4104,CYPRESS COLLEGE,Cypress,Orange,App,274,14,,60,150,29,,18
CYPRESS COLLEGE4104,CYPRESS COLLEGE,Cypress,Orange,Adm,191,10,,41,103,21,,14
CYPRESS COLLEGE4104,CYPRESS COLLEGE,Cypress,Orange,Enr,124,8,,19,73,13,,10
DE ANZA COLLEGE4286,DE ANZA COLLEGE,Cupertino,Santa Clara,App,1677,47,4,146,723,212,,496
DE ANZA COLLEGE4286,DE ANZA COLLEGE,Cupertino,Santa Clara,Adm,1316,28,4,103,566,161,,417
DE ANZA COLLEGE4286,DE ANZA COLLEGE,Cupertino,Santa Clara,Enr,978,17,,72,439,119,,304
DIABLO VALLEY COLLEGE4295,DIABLO VALLEY COLLEGE,Pleasant Hill,Contra Costa,App,1496,72,7,235,408,373,50,351
DIABLO VALLEY COLLEGE4295,DIABLO VALLEY COLLEGE,Pleasant Hill,Contra Costa,Adm,1197,47,5,181,325,294,,304
DIABLO VALLEY COLLEGE4295,DIABLO VALLEY COLLEGE,Pleasant Hill,Contra Costa,Enr,958,39,5,130,265,233,33,253
EAST LOS ANGELES COLLEGE4296,EAST LOS ANGELES COLLEGE,Monterey Park,Los Angeles,App,665,11,2,331,159,5,,135
