Calculation1,School,City,County,Count,All,African American,American Indian,Hispanic/ Latino,Asian,White,Domestic unknown,Inter- national
ALLAN HANCOCK COLLEGE4002,ALLAN HANCOCK COLLEGE,Santa Maria,Santa Barbara,App,59,3,,35,6,14,1,
ALLAN HANCOCK COLLEGE4002,ALLAN HANCOCK COLLEGE,Santa Maria,Santa Barbara,Adm,26,,,14,4,8,,
ALLAN HANCOCK COLLEGE4002,ALLAN HANCOCK COLLEGE,Santa Maria,Santa Barbara,Enr,7,,,5,,,,
AMERICAN RIVER COLLEGE4004,AMERICAN RIVER COLLEGE,Sacramento,Sacramento,App,95,6,1,13,29,40,,3
AMERICAN RIVER COLLEGE4004,AMERICAN RIVER COLLEGE,Sacramento,Sacramento,Adm,42,4,,4,10,21,,
AMERICAN RIVER COLLEGE4004,AMERICAN RIVER COLLEGE,Sacramento,Sacramento,Enr,7,,,,4,,,
ANTELOPE VALLEY COLLEGE4005,ANTELOPE VALLEY COLLEGE,Lancaster,Los Angeles,App,67,9,2,26,12,13,,
ANTELOPE VALLEY COLLEGE4005,ANTELOPE VALLEY COLLEGE,Lancaster,Los Angeles,Adm,49,8,,16,9,10,,
ANTELOPE VALLEY COLLEGE4005,ANTELOPE VALLEY COLLEGE,Lancaster,Los Angeles,Enr,13,,,8,,,,
BAKERSFIELD COLLEGE4015,BAKERSFIELD COLLEGE,Bakersfield,Kern,App,66,4,,35,5,20,1,1
BAKERSFIELD COLLEGE4015,BAKERSFIELD COLLEGE,Bakersfield,Kern,Adm,33,,,15,4,12,,
BAKERSFIELD COLLEGE4015,BAKERSFIELD COLLEGE,Bakersfield,Kern,Enr,15,,,8,,6,,
BARSTOW COLLEGE4020,BARSTOW COLLEGE,Barstow,San Bernardino,App,6,1,,4,,1,,
BARSTOW COLLEGE4020,BARSTOW COLLEGE,Barstow,San Bernardino,Adm,,,,,,,,
BARSTOW COLLEGE4020,BARSTOW COLLEGE,Barstow,San Bernardino,Enr,,,,,,,,
BERKELEY CITY COLLEGE7711,BERKELEY CITY COLLEGE,Berkeley,Alameda,App,191,16,,21,46,41,,64
BERKELEY CITY COLLEGE7711,BERKELEY CITY COLLEGE,Berkeley,Alameda,Adm,130,12,,10,33,27,,46
BERKELEY CITY COLLEGE7711,BERKELEY CITY COLLEGE,Berkeley,Alameda,Enr,29,3,,,5,4,,16
BUTTE COLLEGE4226,BUTTE COLLEGE,Oroville,Butte,App,34,3,,8,3,18,,2
BUTTE COLLEGE4226,BUTTE COLLEGE,Oroville,Butte,Adm,24,,,6,,13,,
BUTTE COLLEGE4226,BUTTE COLLEGE,Oroville,Butte,Enr,4,,,,,,,
CABRILLO COLLEGE4084,CABRILLO COLLEGE,Aptos,Santa Cruz,App,116,3,,31,14,60,,5
CABRILLO COLLEGE4084,CABRILLO COLLEGE,Aptos,Santa Cruz,Adm,62,,,17,9,29,,5
CABRILLO COLLEGE4084,CABRILLO COLLEGE,Aptos,Santa Cruz,Enr,10,,,3,,4,,3
CANADA COLLEGE4109,CANADA COLLEGE,Redwood City,San Mateo,App,54,2,,10,11,15,2,14
CANADA COLLEGE4109,CANADA COLLEGE,Redwood City,San Mateo,Adm,34,,,7,9,8,,8
CANADA COLLEGE4109,CANADA COLLEGE,Redwood City,San Mateo,Enr,11,,,,3,4,,
CERRITOS COLLEGE4083,CERRITOS COLLEGE,Norwalk,Los Angeles,App,87,7,,44,29,3,,2
CERRITOS COLLEGE4083,CERRITOS COLLEGE,Norwalk,Los Angeles,Adm,48,5,,24,16,,,
CERRITOS COLLEGE4083,CERRITOS COLLEGE,Norwalk,Los Angeles,Enr,7,,,5,,,,
CERRO COSO COMMUNITY COLLEGE4027,CERRO COSO COMMUNITY COLLEGE,Ridgecrest,Kern,App,12,1,,3,1,4,2,1
CERRO COSO COMMUNITY COLLEGE4027,CERRO COSO COMMUNITY COLLEGE,Ridgecrest,Kern,Adm,7,,,,,3,,
CERRO COSO COMMUNITY COLLEGE4027,CERRO COSO COMMUNITY COLLEGE,Ridgecrest,Kern,Enr,3,,,,,,,
CHABOT COLLEGE4725,CHABOT COLLEGE,Hayward,Alameda,App,116,7,,24,63,16,2,4
CHABOT COLLEGE4725,CHABOT COLLEGE,Hayward,Alameda,Adm,68,4,,13,40,6,,4
CHABOT COLLEGE4725,CHABOT COLLEGE,Hayward,Alameda,Enr,15,,,3,9,,,3
CHAFFEY COLLEGE4046,CHAFFEY COLLEGE,Rancho Cucamonga,San Bernardino,App,120,11,,45,26,24,,11
CHAFFEY COLLEGE4046,CHAFFEY COLLEGE,Rancho Cucamonga,San Bernardino,Adm,60,5,,21,15,13,,6
CHAFFEY COLLEGE4046,CHAFFEY COLLEGE,Rancho Cucamonga,San Bernardino,Enr,17,3,,3,4,5,,
CITRUS COLLEGE4051,CITRUS COLLEGE,Glendora,Los Angeles,App,164,6,,38,47,18,,51
CITRUS COLLEGE4051,CITRUS COLLEGE,Glendora,Los Angeles,Adm,87,4,,26,24,12,,19
CITRUS COLLEGE4051,CITRUS COLLEGE,Glendora,Los Angeles,Enr,26,,,7,9,4,,6
CITY COLLEGE SAN FRANCISCO4052,CITY COLLEGE SAN FRANCISCO,San Francisco,San Francisco,App,264,9,1,38,164,36,3,13
CITY COLLEGE SAN FRANCISCO4052,CITY COLLEGE SAN FRANCISCO,San Francisco,San Francisco,Adm,146,,,20,95,17,,9
